TOWN20,POP2020,SQ_MILES,density,area_type
LENOX,5095,21.67,235.1176742039686,rural
NEW ASHFORD,250,13.47,18.55976243504083,rural
OTIS,1634,38.05,42.94349540078844,rural
HATFIELD,3352,16.82,199.28656361474435,rural
CHARLTON,13315,43.79,304.0648549897237,suburban_residential
BERNARDSTON,2102,23.41,89.79068774028192,rural
SANDISFIELD,989,52.95,18.67799811142587,rural
WILLIAMSTOWN,7513,46.85,160.36286019210246,rural
HUDSON,20092,11.86,1694.097807757167,suburban_commercial
MALDEN,66263,5.07,13069.625246548323,urban
LANESBOROUGH,3038,29.59,102.66982088543426,rural
MARBLEHEAD,20441,4.4,4645.681818181818,suburban_commercial
NEW BEDFORD,101079,20.23,4996.490360850223,suburban_commercial
NORTON,19202,29.31,655.1347662913681,suburban_residential
REHOBOTH,12502,47.48,263.3108677337827,suburban_residential
SOMERSET,18303,11.89,1539.3608074011775,suburban_commercial
ALFORD,486,11.55,42.077922077922075,rural
WILMINGTON,23349,17.14,1362.2520420070011,suburban_residential
SHERBORN,4401,16.15,272.50773993808053,suburban_residential
SHIRLEY,7431,15.9,467.35849056603774,suburban_residential
BELMONT,27295,4.72,5782.838983050848,urban
CAMBRIDGE,118403,7.1,16676.478873239437,urban
CHELMSFORD,36392,23.08,1576.776429809359,suburban_commercial
EVERETT,49075,3.42,14349.415204678362,urban
HOLLISTON,14996,19.05,787.1916010498687,suburban_residential
CHARLEMONT,1185,26.65,44.465290806754226,rural
COLRAIN,1606,43.34,37.055837563451774,rural
NATICK,37006,15.96,2318.6716791979948,suburban_commercial
NORTH READING,15554,13.49,1153.002223869533,suburban_residential
PEPPERELL,11604,23.16,501.0362694300518,suburban_residential
SUDBURY,18934,24.75,765.010101010101,suburban_residential
TEWKSBURY,31342,21.15,1481.8912529550828,suburban_residential
TYNGSBOROUGH,12380,18.11,683.6002208724461,suburban_residential
WATERTOWN,35329,4.13,8554.237288135593,urban
WAYLAND,13943,15.85,879.6845425867508,suburban_residential
HUNTINGTON,2094,26.79,78.16349384098544,rural
ABINGTON,17062,10.19,1674.3866535819432,suburban_commercial
DUXBURY,16090,24.18,665.4259718775847,suburban_residential
EAST BRIDGEWATER,14440,17.53,823.7307472903593,suburban_residential
HALIFAX,7749,17.39,445.60092006900516,suburban_residential
BELCHERTOWN,15350,55.28,277.67727930535455,suburban_residential
EASTHAMPTON,16211,13.6,1191.985294117647,suburban_residential
HADLEY,5325,24.61,216.37545713124746,rural
WARE,10066,39.98,251.775887943972,suburban_residential
WILLIAMSBURG,2504,25.67,97.54577327619789,rural
HULL,10072,3.0,3357.3333333333335,suburban_commercial
KINGSTON,13708,19.05,719.5800524934383,suburban_residential
MARION,5347,14.18,377.08039492242597,suburban_residential
MATTAPOISETT,6508,17.37,374.6689694876223,suburban_residential
PEMBROKE,18361,23.56,779.3293718166384,suburban_residential
ROCKLAND,17803,10.12,1759.1897233201582,suburban_commercial
NEW BRAINTREE,996,20.92,47.60994263862332,rural
NORTHBRIDGE,16335,18.05,904.9861495844875,suburban_residential
FALL RIVER,94000,40.24,2335.9840954274355,suburban_commercial
TAUNTON,59408,48.41,1227.1844660194176,suburban_residential
WESTPORT,16339,51.51,317.2005435837701,suburban_residential
BRIDGEWATER,28633,28.37,1009.2703560098696,suburban_residential
BROCKTON,105643,21.51,4911.343561134356,suburban_commercial
CARVER,11645,39.72,293.17724068479356,suburban_residential
HINGHAM,24284,22.64,1072.6148409893992,suburban_residential
LAKEVILLE,11523,36.12,319.01993355481727,suburban_residential
PLYMOUTH,61217,102.73,595.9018787111846,suburban_residential
PLYMPTON,2930,15.1,194.03973509933775,rural
SCITUATE,19063,17.51,1088.6921758994858,suburban_residential
NORTHFIELD,2866,35.35,81.07496463932107,rural
HAWLEY,353,30.54,11.558611656843484,rural
AQUINNAH,439,5.37,81.75046554934823,rural
WEST BROOKFIELD,3833,21.11,181.57271435338703,rural
WESTMINSTER,8213,37.25,220.48322147651007,rural
EDGARTOWN,5168,27.06,190.98300073909832,rural
CHILMARK,1212,19.2,63.125,rural
MONTEREY,1095,27.4,39.96350364963504,rural
BECKET,1931,47.79,40.40594266582967,rural
LEE,5788,27.01,214.29100333209922,rural
SAVOY,645,36.03,17.90174854288093,rural
TYRINGHAM,427,18.86,22.640509013785792,rural
ADAMS,8166,22.96,355.6620209059233,suburban_residential
CHESHIRE,3258,27.52,118.38662790697674,rural
PRINCETON,3495,35.83,97.54395757744906,rural
ROYALSTON,1250,42.5,29.41176470588235,rural
SHREWSBURY,38325,21.75,1762.0689655172414,suburban_commercial
SOUTHBRIDGE,17740,20.86,850.431447746884,suburban_residential
CLARKSBURG,1657,12.79,129.5543393275997,rural
DALTON,6330,21.87,289.43758573388203,suburban_residential
GRANBY,6110,28.07,217.67011043819025,rural
STURBRIDGE,9867,38.96,253.25975359342914,suburban_residential
SUTTON,9357,34.03,274.9632677049662,suburban_residential
FLORIDA,694,24.6,28.211382113821138,rural
EGREMONT,1372,18.91,72.55420412480169,rural
GREAT BARRINGTON,7172,45.77,156.69652610880487,rural
HANCOCK,757,35.75,21.174825174825173,rural
HINSDALE,1919,21.69,88.47395112955279,rural
WEST TISBURY,3555,25.33,140.34741413343863,rural
OAK BLUFFS,5341,7.42,719.811320754717,suburban_residential
WARREN,4975,27.63,180.0579080709374,rural
RICHMOND,1407,19.03,73.93589069889647,rural
SHEFFIELD,3327,48.54,68.54140914709518,rural
HOLDEN,19905,36.32,548.045154185022,suburban_residential
SOUTHBOROUGH,10450,15.52,673.3247422680413,suburban_residential
WESTBOROUGH,21567,21.46,1004.9860205032619,suburban_residential
WORCESTER,206518,38.44,5372.476586888658,urban
UPTON,8000,21.83,366.4681630783326,suburban_residential
STOCKBRIDGE,2018,23.68,85.2195945945946,rural
WASHINGTON,494,38.82,12.725399278722309,rural
ASHBURNHAM,6315,40.95,154.2124542124542,rural
AUBURN,16889,16.41,1029.189518586228,suburban_residential
BLACKSTONE,9208,11.43,805.599300087489,suburban_residential
BOLTON,5665,20.08,282.1215139442231,suburban_residential
WEST STOCKBRIDGE,1343,18.68,71.8950749464668,rural
WINDSOR,831,35.16,23.63481228668942,rural
TEMPLETON,8149,32.39,251.58999691262736,suburban_residential
